4053 verb(s) selected; model google/gemini-2.5-flash; batch size 25
  batch 1: 25/25 classified, 0 problem(s), ~$0.0014
  batch 46: 25/25 classified, 0 problem(s), ~$0.0014
  batch 47: 25/25 classified, 0 problem(s), ~$0.0014
  batch 48: 25/25 classified, 0 problem(s), ~$0.0014
  batch 49: 25/25 classified, 0 problem(s), ~$0.0014
  batch 50: 25/25 classified, 0 problem(s), ~$0.0014
  batch 51: 25/25 classified, 0 problem(s), ~$0.0014
  batch 52: 25/25 classified, 0 problem(s), ~$0.0014
  batch 53: 25/25 classified, 0 problem(s), ~$0.0014
  batch 54: 25/25 classified, 0 problem(s), ~$0.0014
  batch 55: 25/25 classified, 0 problem(s), ~$0.0014
  batch 56: 25/25 classified, 0 problem(s), ~$0.0014
  batch 57: 25/25 classified, 0 problem(s), ~$0.0014
  batch 58: 25/25 classified, 0 problem(s), ~$0.0014
  batch 59: 25/25 classified, 0 problem(s), ~$0.0014
  batch 60: 25/25 classified, 0 problem(s), ~$0.0014
  batch 61: 25/25 classified, 0 problem(s), ~$0.0014
  batch 62: 25/25 classified, 0 problem(s), ~$0.0014
  batch 63: 25/25 classified, 0 problem(s), ~$0.0014
  batch 64: 25/25 classified, 0 problem(s), ~$0.0014
  batch 65: 25/25 classified, 0 problem(s), ~$0.0014
  batch 66: 25/25 classified, 0 problem(s), ~$0.0014
  batch 67: 25/25 classified, 0 problem(s), ~$0.0014
  batch 68: 25/25 classified, 0 problem(s), ~$0.0014
  batch 69: 25/25 classified, 0 problem(s), ~$0.0014
  batch 70: 25/25 classified, 0 problem(s), ~$0.0014
  batch 71: 25/25 classified, 0 problem(s), ~$0.0014
  batch 72: 25/25 classified, 0 problem(s), ~$0.0014
  batch 73: 25/25 classified, 0 problem(s), ~$0.0014
  batch 74: 25/25 classified, 0 problem(s), ~$0.0014
  batch 75: 25/25 classified, 0 problem(s), ~$0.0014
  batch 76: 25/25 classified, 0 problem(s), ~$0.0014
  batch 77: 25/25 classified, 0 problem(s), ~$0.0014
  batch 78: 25/25 classified, 0 problem(s), ~$0.0014
  batch 79: 25/25 classified, 0 problem(s), ~$0.0014
  batch 80: 25/25 classified, 0 problem(s), ~$0.0014
  batch 81: 25/25 classified, 0 problem(s), ~$0.0014
  batch 82: 25/25 classified, 0 problem(s), ~$0.0014
  batch 83: 25/25 classified, 0 problem(s), ~$0.0014
  batch 84: 25/25 classified, 0 problem(s), ~$0.0014
  batch 85: 25/25 classified, 0 problem(s), ~$0.0014
  batch 86: 25/25 classified, 0 problem(s), ~$0.0014
  batch 87: 25/25 classified, 0 problem(s), ~$0.0014
  batch 88: 25/25 classified, 0 problem(s), ~$0.0014
  batch 89: 25/25 classified, 0 problem(s), ~$0.0014
  batch 90: 25/25 classified, 0 problem(s), ~$0.0014
  batch 91: 25/25 classified, 0 problem(s), ~$0.0014
  batch 92: 25/25 classified, 0 problem(s), ~$0.0014
  batch 93: 25/25 classified, 0 problem(s), ~$0.0014
  batch 94: 25/25 classified, 0 problem(s), ~$0.0014
  batch 95: 25/25 classified, 0 problem(s), ~$0.0014
  batch 96: 25/25 classified, 0 problem(s), ~$0.0014
  batch 97: 25/25 classified, 0 problem(s), ~$0.0014
  batch 98: 25/25 classified, 0 problem(s), ~$0.0014
  batch 99: 25/25 classified, 0 problem(s), ~$0.0014
  batch 100: 25/25 classified, 0 problem(s), ~$0.0014
  batch 101: 25/25 classified, 0 problem(s), ~$0.0014
  batch 102: 25/25 classified, 0 problem(s), ~$0.0014
  batch 103: 25/25 classified, 0 problem(s), ~$0.0014
  batch 104: 25/25 classified, 0 problem(s), ~$0.0014
  batch 105: 25/25 classified, 0 problem(s), ~$0.0014
  batch 106: 25/25 classified, 0 problem(s), ~$0.0014
  batch 107: 25/25 classified, 0 problem(s), ~$0.0014
  batch 108: 25/25 classified, 0 problem(s), ~$0.0014
  batch 109: 25/25 classified, 0 problem(s), ~$0.0014
  batch 110: 25/25 classified, 0 problem(s), ~$0.0014
  batch 111: 25/25 classified, 0 problem(s), ~$0.0014
  batch 112: 25/25 classified, 0 problem(s), ~$0.0014
  batch 113: 25/25 classified, 0 problem(s), ~$0.0014
  batch 114: 25/25 classified, 0 problem(s), ~$0.0014
  batch 115: 25/25 classified, 0 problem(s), ~$0.0014
  batch 116: 25/25 classified, 0 problem(s), ~$0.0014
  batch 117: 25/25 classified, 0 problem(s), ~$0.0014
  batch 118: 25/25 classified, 0 problem(s), ~$0.0014
  batch 119: 25/25 classified, 0 problem(s), ~$0.0014
  batch 120: 25/25 classified, 0 problem(s), ~$0.0014
  batch 121: 25/25 classified, 0 problem(s), ~$0.0014
  batch 122: 25/25 classified, 0 problem(s), ~$0.0014
  batch 123: 25/25 classified, 0 problem(s), ~$0.0014
  batch 124: 25/25 classified, 0 problem(s), ~$0.0014
  batch 125: 25/25 classified, 0 problem(s), ~$0.0014
  batch 126: 25/25 classified, 0 problem(s), ~$0.0014
  batch 127: 25/25 classified, 0 problem(s), ~$0.0014
  batch 128: 25/25 classified, 0 problem(s), ~$0.0014
  batch 129: 25/25 classified, 0 problem(s), ~$0.0014
  batch 130: 25/25 classified, 0 problem(s), ~$0.0014
  batch 131: 25/25 classified, 0 problem(s), ~$0.0014
  batch 132: 25/25 classified, 0 problem(s), ~$0.0014
  batch 133: 25/25 classified, 0 problem(s), ~$0.0014
  batch 134: 25/25 classified, 0 problem(s), ~$0.0014
  batch 135: 25/25 classified, 0 problem(s), ~$0.0014
  batch 136: 25/25 classified, 0 problem(s), ~$0.0014
  batch 137: 25/25 classified, 0 problem(s), ~$0.0014
  batch 138: 25/25 classified, 0 problem(s), ~$0.0014
  batch 139: 25/25 classified, 0 problem(s), ~$0.0014
  batch 140: 25/25 classified, 0 problem(s), ~$0.0014
  batch 141: 25/25 classified, 0 problem(s), ~$0.0014
  batch 142: 25/25 classified, 0 problem(s), ~$0.0014
  batch 143: 25/25 classified, 0 problem(s), ~$0.0014
  batch 144: 25/25 classified, 0 problem(s), ~$0.0014
  batch 145: 25/25 classified, 0 problem(s), ~$0.0014
  batch 146: 25/25 classified, 0 problem(s), ~$0.0014
  batch 147: 25/25 classified, 0 problem(s), ~$0.0014
  batch 148: 25/25 classified, 0 problem(s), ~$0.0014
  batch 149: 25/25 classified, 0 problem(s), ~$0.0014
  batch 150: 25/25 classified, 0 problem(s), ~$0.0014
  batch 151: 25/25 classified, 0 problem(s), ~$0.0014
  batch 152: 25/25 classified, 0 problem(s), ~$0.0014
  batch 153: 25/25 classified, 0 problem(s), ~$0.0014
  batch 154: 25/25 classified, 0 problem(s), ~$0.0014
  batch 155: 25/25 classified, 0 problem(s), ~$0.0014
  batch 156: 25/25 classified, 0 problem(s), ~$0.0014
  batch 157: 25/25 classified, 0 problem(s), ~$0.0014
  batch 158: 25/25 classified, 0 problem(s), ~$0.0014
  batch 159: 25/25 classified, 0 problem(s), ~$0.0014
  batch 160: 25/25 classified, 0 problem(s), ~$0.0014
  batch 161: 25/25 classified, 0 problem(s), ~$0.0014
  batch 162: 25/25 classified, 0 problem(s), ~$0.0014
  batch 163: 3/3 classified, 0 problem(s), ~$0.0002

Classified 4053 verb(s), 0 problem(s), est. cost $0.2255
Results appended to /home/user/je-dict-1/reviews/transitivity/20260902T030656Z.jsonl
exit 0
